_id,Planning_ID,Implementation_By,Project,Site_ID,Site_Name,HO_Date,HO_Modification,Scope,New_RAT,New_Sector,Approval_Status,Approval_Ref,IMP_Scenario,blank1,blank2,blank3,Tilt,Azimuth,Antenna_Height,New_RRU_Type,RRU_From,New_BTS_Type,BTS_From,New_Antenna_Type,Antenna_From,Cards_Type_n_From,Battery_count_n_From,Mobitel_Region,Planning_Engineer,On_Air_Target,Planning_Comments,Site_Engineer,Assigned_Date,Special_Tag,Coordinator_Comments,Sub_Contractor,Site_Status,Responsible,Mobilization_Status,Mobilized_Date,Installation_Status,Installation_Date,Commissioning_Status,Commisioned_Date,SAR_Status,PAT_Status,On_Air_Status,Finance_Remarks,__v,createdAt,updatedAt,AWR_1,AWR_2,AWR_3,Approval_Received_Date,BOI_Approved,Balance_Material_Returned_Date,COW_Approved,COW_Number,COW_Submitted,CPL_Approved,CPL_Number,CPL_Submitted,Capitalization_Status,Capitalized_Date,Check_List_Submitted,Check_List_Verified,Civil_PAT_Date,Dependencies_On_Air_Target,Dependency,ETA,FAC_Approved,FAC_Number,FAC_Submitted,HO_Modified_Date,ICL_Approved,IMP_PO_Issued,IMP_PO_Number,IMP_PR_Approved_Date,IMP_PR_Number,IMP_PR_Raised,IMP_PR_Submitted,Logistics_Remarks,MCW_Completed_Date,MCW_Requested_Date,Material_Reconciled,On_Air_Date,PAC_Invoice_Approved,PAC_Invoice_Number,PAC_Invoice_Submitted,PAT_Pass_Date,PAT_Reference,PAT_Submitted,PI_Approved_ENG,PI_Number,PI_Submitted,PO_Closed_Date,PO_Status,Payment_Confirmed,Payment_Method,Port_Clearance,Power_Connected_Date,Received_To_Port,SAQ_Clearance_Date,SAR_Date,SAR_Reference,Sub_Contractor_Remarks,Supply_BOQ_Approved,Supply_BOQ_Submitted,Supply_PO_Issued,Supply_PO_Number,Supply_PR_Approved_Date,Supply_PR_Number,Supply_PR_Raise,Supply_PR_Status,Supply_PR_Submitted,TRC_Approved,TSSR_Approved_Date,TSSR_Referance,TSSR_Submitted_Date,TX_Connected_Date,currentUser
6307b99b8648b315047933eb,19,Huawei,ABC P1,gsg,Thelijjavila 2,2022-02-08,NA,1. Miscellaneous HO Huawei2022,G9L850,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Invalid date,Edit,Suranga Gunawardhana,2022-08-11,Not Applicable,fedf,Suvitech,On Air,N/A,Completed,2022-02-18,Completed,2022-02-19,Completed,2022-02-19,Pending,Pending,Completed,Edit,0,2022-08-25T18:04:11.730Z,2022-09-12T07:27:14.924Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,2022-09-11,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933ee,38,ZTE,L850 P3,uj57rj,Petroleum Corporation,2022-03-15,NA,1. Miscellaneous HO Huawei2022,3G RRU SWAP,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Invalid date,Edit,Suranga Gunawardhana,Invalid date,Not Applicable,Done,Pending,Installation Pending,Implementation,Pending,Invalid date,Installation Pending,Invalid date,Pending,Invalid date,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.731Z,2022-09-05T07:01:53.487Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Not Applicable,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933ea,13,ZTE,L850 P3,KUDUN1,Dunumawa ,2022-01-31,NA,1. Miscellaneous HO Huawei2022,G9L850,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-03-07,Edit,Dumindu Chamikara,2022-03-07,Not Applicable,Done,Pending,Installation Pending,Implementation,Pending,Invalid date,Installation Pending,Invalid date,Pending,Invalid date,Pending,Pending,Completed,Edit,0,2022-08-25T18:04:11.730Z,2022-09-09T11:21:53.528Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,2022-09-09,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933ef,22,ZTE,L850 P3,COL579,LCC081 Galle Face Pole4,2022-02-22,NA,1. Miscellaneous HO Huawei2022,5G sector,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-03-16,Edit,Yomal Kodagoda,2022-03-16,Not Applicable,Done,DAR,On Air,N/A,Completed,2022-03-17,Completed,2022-03-22,Completed,2022-03-22,Pending,Pending,Completed,Edit,0,2022-08-25T18:04:11.731Z,2022-09-09T11:22:02.812Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,2022-09-11,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933ec,39,ZTE,L850 P3,IBPPL1,Peoples Bank HO,2022-03-15,NA,1. Miscellaneous HO Huawei2022,3G RRU SWAP,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-04-02,Edit,Suranga Gunawardhana,2022-04-02,Not Applicable,Done,Pending,On Air,N/A,Pending,Invalid date,Installation Pending,Invalid date,Pending,Invalid date,Pending,Pending,Completed,Edit,0,2022-08-25T18:04:11.730Z,2022-09-09T11:22:08.360Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,2022-09-12,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933f2,11,ZTE,L850 P3,KUKTG1,Katugampalagama,2022-01-31,NA,1. Miscellaneous HO Huawei2022,G9L850,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-03-05,Edit,Dumindu Chamikara,2022-03-05,Not Applicable,Done,Pending,Installation Pending,Implementation,Pending,,Installation Pending,,Pending,,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.732Z,2022-08-25T18:04:11.732Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307b99b8648b315047933e9,9,ZTE,L850 P3,ZHOM28,Panagoda__Army_camp,2022-01-21,NA,1. Miscellaneous HO Huawei2022,Antenna Rearrangement,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-03-03,Edit,Suranga Gunawardhana,2022-03-03,Not Applicable,Done,L & H,PAT Pending,SE,Completed,2022-03-23,Completed,2022-03-23,Completed,2022-03-23,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.730Z,2022-09-12T08:40:47.675Z,null,null,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,2022-08-31,Invalid date,Invalid date,PAT Pending,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,Invalid date,Invalid date,null,null,Invalid date,Invalid date,Invalid date,null,Invalid date,null,Invalid date,null,Invalid date,Invalid date,Invalid date,null,Invalid date,Invalid date,Admin Name
6307b99b8648b315047933f0,3,ZTE,L850 P3 ,RTTKT1,Kuttapitiya,2022-01-12,NA,1. Miscellaneous HO Huawei2022,G9L850L21,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-02-25,Edit,Yomal Kodagoda,2022-02-25,Not Applicable,Done,Intel,PAT Pending,Project,Completed,2022-02-24,Completed,2022-02-24,Completed,2022-02-28,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.731Z,2022-08-25T18:04:11.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307b99b8648b315047933ed,47,ZTE,L850 P3,GLAKM1,Akmeemana,2022-03-18,NA,1. Miscellaneous HO Huawei2022,L1800 4T4R,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-04-10,Edit,Suranga Gunawardhana,2022-04-10,Not Applicable,Done,Pending,Installation Pending,Approval,Pending,,Installation Pending,,Pending,,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.731Z,2022-08-25T18:04:11.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307b99b8648b315047933f1,35,ZTE,L850 P3,IBCOP1,Ministry of Co-operatives and Internal Trade,2022-03-15,NA,1. Miscellaneous HO Huawei2022,3G RRU SWAP,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,2022-03-29,Edit,Suranga Gunawardhana,2022-03-29,Not Applicable,Done,Pending,Installation Pending,Implementation,Pending,,Installation Pending,,Pending,,Pending,Pending,Pending,Edit,0,2022-08-25T18:04:11.731Z,2022-08-25T18:04:11.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,